Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers,year
Los Angeles Dodgers,353307,44163,30.9,29.7,103,101,0,0,8,"$234,255,278",02:49:00,0,NA,NA,Roberts,2024
Miami Marlins,103335,14762,28.5,26.8,103,104,0,0,6,"$86,015,000",02:44:00,0,NA,NA,Schumaker,2024
Milwaukee Brewers,143643,28729,26.6,28.7,99,98,0,0,4,"$84,709,960",02:40:00,3,3,100%,Murphy,2024
Minnesota Twins,61401,30701,29.2,28.7,100,101,0,0,4,"$116,553,691",02:42:00,1,1,100%,Baldelli,2024
New York Mets,126528,21088,29.6,31.9,98,97,0,0,10,"$248,930,000",02:45:00,2,0,0%,Mendoza,2024
New York Yankees,130631,43544,28.4,29.3,102,102,0,0,10,"$276,498,334",02:58:00,1,1,100%,Boone,2024
Oakland Athletics,45068,6438,26.7,30,94,97,0,0,4,"$31,925,000",02:37:00,1,1,100%,Kotsay,2024
Philadelphia Phillies,221385,36898,29.4,29.8,101,101,0,0,9,"$235,174,283",02:45:00,4,2,50%,Thomson,2024
Pittsburgh Pirates,83141,27714,28,28.5,99,99,0,0,6,"$64,254,000",02:50:00,4,3,75%,Shelton,2024
San Diego Padres,297412,37177,27.9,29.8,96,95,0,0,6,"$155,275,455",02:42:00,2,0,0%,Shildt,2024
Seattle Mariners,201381,28769,28.8,27.9,95,95,0,0,6,"$108,381,548",02:34:00,1,0,0%,Servais,2024
San Francisco Giants,120908,40303,29.9,26.9,100,100,0,0,5,"$212,983,333",02:34:00,2,1,50%,Melvin,2024
St. Louis Cardinals,124120,41373,27.5,31.1,102,102,0,0,10,"$172,395,000",02:37:00,3,2,66%,Marmol,2024
Tampa Bay Rays,122180,17454,27.8,29.8,98,97,0,0,4,"$112,458,712",02:41:00,2,0,0%,Cash,2024
Texas Rangers,221636,36939,27.6,30.8,106,105,0,0,9,"$239,283,334",02:41:00,3,2,66%,Bochy,2024
Toronto Blue Jays,NA,NA,29.4,31.3,99,99,0,0,10,"$213,776,787",02:43:00,2,1,50%,Schneider,2024
Washington Nationals,141419,23570,27.7,29.9,97,99,0,0,5,"$112,941,667",02:43:00,1,0,0%,Martinez,2024
